,Taqyim Al Waqi Lil Wadhea Al Mali (LilSharika) Bina Ala Al Qima AsSoukiya,التقيم الواقعي للوضع المالي (للشركة) بناء على القيمة السوقية,Mark-to-market,"Accounting for the value of an asset or liability based on the current market price of the asset or liability, or for similar assets and liabilities."
,Tasjeel Al Iradat,تسجيل الإرادات,Revenue recognition,The choice of which transactions a company should consider to be part of its sales.
,Tasnif Al ITimani Li Wadaa Al Umlat Al Ajnabiya Tawilat Al Mada,التصنيف الإتماني لودائع العملات الأجنبية طويلة المدى,Long-term foreign currency deposit rating,"Intended to incorporate those aspects of credit risk relevant to the prospective payment performance of the rated bankwith respect to its foreign currency deposit obligations, including: intrinsic financial strength, sovereign transfer risk, andboth implicit and explicit external supportelements."
,Tasnif Al Quwa Al Maliya,تصنيف القوة المالية,Financial strength rating,Evaluation of a company's financial strength by an established ratings agency.
,Taswiyat Al Marakiz,تسوية المراكز,Window dressing,A strategy used by mutual fund and portfolio managers near the end of the year or quarter to improve the appearance of the portfolio/fund performance before presenting it to clients or shareholders.
,Tawarruq/ Tassiyeel,تورق / تسييل,Monetisation,To convert something to cash.
,Tawarruq Muad Musbaqan,تورق معد مسبقاً,Organised tawarruq,Pre- arranged or organised tawarruq. See ‘tawarruq’ and ‘reverse murabaha’.
,TaWid,تعويض,Compensation,"A renumeration that has to be given, as per normal market rate, if the underlying contract becomes voidable to facilitate or serve others."
,Tawlia,تولية,Sale of cost,Full disclosure sale where price is set equal to the original price.
,Thaman,ثمن,Price,Monetary amount of what is bought and sold in an exchange.
U,Phonetic Spelling,Arabic,English,Definition
,Ujra,أجرة,"Fee, wage","A prescribed financial payment for the utilisation of services or usufruct(manfa’a). The word ijara is derived from this root word. In the contemporary context, this word can be used to describe salaries, wages, allowances and commissions. Contrast with ju’ala which means giving a reward for accomplishment of a defined task. Whilein ujra, acceptance of an ‘offer’ takes place by a designated person, in ju’ala anyone who hears the offer can undertake the work and become entitled to the rewardupon completion of the task described."
,Ulama,علماء,Muslim scholars,"Shari’a scholars or jurists. See also faqih, mujtahid."
,Umma,أمة,The Muslim community,The “Community of Believers” or the whole Islamic world.
,Usul Aliya Al Mukhatir,أصول  عالية المخاطر,Toxic assets,Financial assets whose value has fallen significantly and for which there is no longer a functioning market.
,Usul Al Fiqh,أصول الفقه,Theoretical jurisprudence,A discipline that studies principles of the derivation of rules of fiqh specially related to the Arabic words/verses in the sources of the Shari’a as well as other matters related to those verses.
,Uqud Al Muhadad Saeruha Bi Idafat Hamesh Ribh Muayan Lil Taklifa,العقود المحدد سعرها بإضافة هامش ربح معين للتكلفة,Cost plus contract,A contract where a contractor is paid for all of its allowed expenses to a set limit plus additional payment to allow for a profit.
W,Phonetic Spelling,Arabic,English,Definition
,Bay Al Wadhia,بيع الوضيعة,Discount sale,"Sale with loss – at a price less than cost price. A sale in which the seller sells merchandise for less than the price at which it was acquired, and in which the purchaser is informed about the discount and the original acquisition cost. This is a type of trust sale/bay’ al amana."
,Wadia,وديعة,Safe-keeping deposit,Islamic safe-keeping deposit device in which property is entrusted to another party (often a bank) for safe-keeping. No profit can be sought for this property as the trustee does not have rights of disposal.
,Wadia Yadd Ad Daman,وديعة يد ضمانة,Savings with guarantee,Goods or deposit left with a third party  for safe-keeping. Practice employed by Islamic banks to accept current account deposits. The depository becomes the guarantor and therefore guarantees repayment of the whole or part of the deposits outstanding in the account when repayment is due. The depositors arenot entitled to any of the profits but the depository may provide returns to thedepositors as a token of appreciation.
,Waad,وعد,Unilateral Promise/ Undertaking,A unilateral undertaking or a promise by one party to do or not to do certain actions in the future. The primary difference between a promise and a contract is that the promise is binding only on the maker whereas a contract binds both parties.
,Bay Al Wafa,بيع الوفاء,Redemption sale,"A sale in which the seller repurchases (redeems) property by refunding the purchase price or less. According to the majority of classical jurists, and the OIC Fiqh Academy, it is ‘a loan with added benefits’ and thus not permissible."
,Wajib,واجب,Obligatory,"Obligatory religious duty similar in nature to fard, but the denial of which does not make a Muslim a non-believer. Other than Hanafi school, all other schools consider wajib and fard to be synonymous."
,Wakala,وكالة,Agency,"A standard Islamic practice, often used in financial transactions, wherein one party acts as an agent (wakil) for another party."
,Wakalat Istithmar,وكالة استثمار,Investment agency,Fund management contract in which the investor gets all the profit or loss while the fund manager agrees to receive apre-agreed service fee or commission that could be a lump sum amount or a certainpercentage of the invested capital.
,Wakil,وكيل,Agent,An agent under a wakala arrangement.
,Waqf,وقف,Charitable trust,"An endowment or a charitable trust set up for Islamic purposes (usually for education, mosques or for the poor). Itinvolves tying up a property in perpetuity so that it cannot be sold, inherited ordonated to anyone."
,Wasiya,وصية,"Will, testament, bequest",The statement of a Muslim in which he details the manner in which his wealth will be disposed of after his death.
Y,Phonetic Spelling,Arabic,English,Definition
,Yadan Bi Yad,يداً بيد,Hand to hand,Spot settlement in exchange transactions.
Z,Phonetic Spelling,Arabic,English,Definition
,Zakat,زكاة,Zakah tax,"The third pillar of Islam; obligatory alms- giving. Every Muslim, who has wealth above a prescribed amount, is required to give money to the Islamic authority for distribution to the poor and the needy.In the absence of the Islamic authority, well-off Muslims are required to distribute alms among the poor and the needythemselves."
